place_name,city,address,lat,lon,tags,category
فول ابو ادم,Cairo,"60 El Mashroua St., Ain shams el gharbeya, Cairo",29.9822807,30.9783926,"restaurant, fast_food, local",food_drink
Welcome Pizza,New Cairo,Extension of 90th Street - New Cairo - In front of the American University - next to Americana Plaza Mall,29.9818552,31.143412,"restaurant, fast_food, popular, takeaway, family_friendly",food_drink
Coffee Island,Nasr City,"157 26th of July Corridor, Mohammed Mazhar, Zamalek",29.9724649,31.1197791,"cafe, bakery, delivery, takeaway, popular",food_drink
Royal Lotus,Giza,"4 Rawadat El Ahram St., Al Remaya, Al Haram, Giza",29.990492,31.1303665,"family_friendly, popular, local",food_drink
Abdel Rahim Kpueider,Giza,"Extension Of 26Th Of July Spine, Inside Americana Plaza 6th OF OCTOBER, GIZA",29.9723784,31.1200654,"bakery, cafe, juice, quiet, outdoor_seating",food_drink
Abo Emad,Giza,"100 A Faisal St.,Beside Adam & Radwan Sons Markets FAISAL, GIZA",29.9781365,31.1444205,"restaurant, family_friendly, popular",food_drink
Smile Restauran & Cafe,Alexandria,Boulak El Dakrour,29.9817501,31.1434043,"cafe, cozy, family_friendly, outdoor_seating",food_drink
Art Space,Cairo,"Garden City, Cairo, Egypt",30.0497166,31.2414572,"cozy, popular, local, quiet",food_drink
Giza Lounge,Giza,"Mena House Hotel, Giza",30.0094273,31.2077439,"restaurant, family_friendly, touristic",food_drink
5 stars,Zagazig,"Sharkia Governorate - Zagazig - University Villas - Omar Ibn Al Kattab Street, Zagazig",30.010107,31.2075559,"luxury, restaurant, popular",food_drink
Streeks,Cairo,"Nasr City, Masr El Gedida, Al Haram, Cairo, Egypt",30.0625188,31.3455042,"restaurant, fast_food, takeaway",food_drink
Fizze,Nasr City,"Nasr City, Egypt",30.0624643,31.3454546,"juice, cafe, restaurant",food_drink
Viola,Cairo,,30.0610708,31.3494209,"popular, local, touristic",food_drink
TAIYAKI,New Cairo,"Inside Arkan Plaza Mall 6th OF OCTOBER, GIZA",30.0611144,31.349372,"bakery, cafe, takeaway",food_drink
Crazy Shake ‘n Cake,Nasr City,"Ahmed Fakhry St., Nasr City, Cairo, Egypt",30.0610842,31.3494538,"family_friendly, delivery, cafe, restaurant",food_drink
